Name,Label,Mass
M744,M744:524.378,524.378
M745,M745:526.08692,526.08692
M746,M746:526.19734,526.19734
M747,M747:526.28839,526.28839
M748,M748:526.2991,526.2991
M749,M749:526.98777,526.98777
M750,M750:527.28332,527.28332
M751,M751:527.39359,527.39359
M752,M752:527.99205,527.99205
M753,M753:528.08145,528.08145
M754,M754:528.213,528.213
M755,M755:528.28632,528.28632
M756,M756:528.30398,528.30398
M757,M757:528.33632,528.33632
M758,M758:528.37299,528.37299
M759,M759:528.96644,528.96644
M760,M760:529.13688,529.13688
M761,M761:529.22868,529.22868
M762,M762:529.30522,529.30522
M763,M763:529.40904,529.40904
M764,M764:530.18578,530.18578
M765,M765:530.22844,530.22844
M766,M766:530.2573,530.2573
M767,M767:530.42124,530.42124
M768,M768:530.99309,530.99309
M769,M769:532.31691,532.31691
M770,M770:533.1859,533.1859
M771,M771:533.22839,533.22839
M772,M772:534.08633,534.08633
M773,M773:534.22418,534.22418
M774,M774:534.3633,534.3633
M775,M775:534.91204,534.91204
M776,M776:535.18349,535.18349
M777,M777:535.29333,535.29333
M778,M778:535.30014,535.30014
M779,M779:536.36289,536.36289
M780,M780:537.508,537.508
M781,M781:538.01925,538.01925
M782,M782:538.15425,538.15425
M783,M783:538.21513,538.21513
M784,M784:538.2491,538.2491
M785,M785:538.37232,538.37232
M786,M786:539.15063,539.15063
M787,M787:539.28342,539.28342
M788,M788:540.35386,540.35386
M789,M789:541.2818,541.2818
M790,M790:541.29894,541.29894
M791,M791:542.33268,542.33268
M792,M792:542.39026,542.39026
M793,M793:543.25161,543.25161
M794,M794:543.26665,543.26665
M795,M795:543.27817,543.27817
M796,M796:544.20162,544.20162
M797,M797:544.34767,544.34767
M798,M798:544.39937,544.39937
M799,M799:544.40637,544.40637
M800,M800:545.25735,545.25735
M801,M801:546.03437,546.03437
M802,M802:547.09501,547.09501
M803,M803:549.00811,549.00811
M804,M804:550.20138,550.20138
M805,M805:551.04789,551.04789
M806,M806:551.38121,551.38121
M807,M807:551.38602,551.38602
M808,M808:552.03538,552.03538
M809,M809:552.26474,552.26474
M810,M810:553.11199,553.11199
M811,M811:553.15366,553.15366
M812,M812:554.36932,554.36932
M813,M813:554.40412,554.40412
M814,M814:555.27832,555.27832
M815,M815:555.31462,555.31462
M816,M816:557.01322,557.01322
M817,M817:557.2937,557.2937
M818,M818:558.31016,558.31016
M819,M819:558.34654,558.34654
M820,M820:559.3162,559.3162
M821,M821:559.35179,559.35179
M822,M822:560.19744,560.19744
M823,M823:560.40097,560.40097
M824,M824:562.41118,562.41118
M825,M825:563.01305,563.01305
M826,M826:564.11595,564.11595
M827,M827:564.35749,564.35749
M828,M828:567.00604,567.00604
M829,M829:567.18931,567.18931
M830,M830:567.38024,567.38024
M831,M831:570.37475,570.37475
M832,M832:572.29258,572.29258
M833,M833:573.28892,573.28892
M834,M834:575.25059,575.25059
M835,M835:575.28295,575.28295
M836,M836:578.44246,578.44246
